"124r -- Yksityisen sektorin kuukausipalkkaisten ansiot koulutusluokituksen (4-numeroinen tutkintokoodi) mukaan vuonna 2018, 2018"

"Vuosi";"Koulutusluokitus";"Säännöllisen työajan keskiansio";"Säännöllisen työajan ansion mediaani"
"2018";"7506 Insinööri (ylempi AMK), rakennustekniikka";4669;4530
"2018";"7507 Insinööri (ylempi AMK), tuotantotalous";4911;4802
"2018";"7508 Insinööri (ylempi AMK), muu tekniikka";4460;4420
"2018";"7511 Diplomi-insinööri, konetekniikka ja energiatekniikka";5104;4711
"2018";"7512 Diplomi-insinööri, sähkötekniikka ja automaatiotekniikka";5078;4766
"2018";"7513 Diplomi-insinööri, tietotekniikka ja tietoliikennetekniikka";5155;4802
"2018";"7514 Diplomi-insinööri, prosessitekniikka ja materiaalitekniikka";5073;4673
"2018";"7515 Diplomi-insinööri, rakennustekniikka ja maanmittaustekniikka";5248;4964
"2018";"7516 Diplomi-insinööri, tuotantotalous";5763;5272
"2018";"7519 Diplomi-insinööri, muu tekniikka";4347;3989
"2018";"7541 Arkkitehti";4494;4290
"2018";"7542 Maisema-arkkitehti";4198;4020
"2018";"7599 Muu tekniikan koulutus, ylempi korkeakouluaste";4416;4074
"2018";"7611 Agrologi (ylempi AMK)";4074;3542
"2018";"7612 Hortonomi (ylempi AMK)";.;.
"2018";"7613 Metsätalousinsinööri (ylempi AMK)";4205;4149
"2018";"7615 Ympäristösuunnittelija (ylempi AMK)";.;.
"2018";"7619 Muu maa- ja metsätalousalan ylempi ammattikorkeakoulututkinto";.;.
"2018";"7622 Maatalous- ja metsätieteiden maisteri, maatalous- ja metsätieteiden kandidaatti (ylempi)";4594;4232
"2018";"7623 Elintarviketieteiden maisteri, elintarviketieteiden kandidaatti (ylempi)";4647;4363
"2018";"7624 Agronomi";4320;4405
"2018";"7625 Metsänhoitaja; metsätutkinto";5050;4786
"2018";"7629 Muu maa- ja metsätalousalan koulutus, ylempi korkeakouluaste";.;.
"2018";"7711 Sosiaali- ja terveysalan ammattikorkeakoulun jatkotutkinto";3875;3593
"2018";"7712 Terveydenhuollon ylempi ammattikorkeakoulututkinto";3624;3475
"2018";"7713 Sosiaalialan ylempi ammattikorkeakoulututkinto";3364;3253
"2018";"7719 Muu terveys- ja sosiaalialan ylempi ammattikorkeakoulututkinto";.;.
